City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
248,Gizo,SB,82.18,light rain,-8.103,156.8419,Imagination Island
249,Kuandian,CN,72.66,overcast clouds,40.7286,124.7847,Hi Inn Dandong Kuandian Ji Xian Garden
250,Port Elizabeth,ZA,55.09,clear sky,-33.918,25.5701,39 On Nile Guest House
251,Tarko-Sale,RU,50.05,few clouds,64.9225,77.785,Yubileynaya
253,Sisimiut,GL,55.49,scattered clouds,66.9395,-53.6735,Hotel Sisimiut
254,Newport,GB,61.86,overcast clouds,51.5877,-2.9984,ibis budget Newport
258,Selfoss,IS,59.04,broken clouds,63.9331,-20.9971,Selfoss HI Hostel
260,Saint-Pierre,RE,67.68,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
264,Nanning,CN,81.09,overcast clouds,22.8167,108.3167,Nanning Travelling With Hostel
265,Salinas,US,94.23,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
266,Haldwani,IN,77.05,overcast clouds,29.2167,79.5167,OYO Premium Nainital Road Haldwani
267,Malkangiri,IN,74.64,overcast clouds,18.35,81.9,Girls' Hostel
268,Ca Mau,VN,77.95,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
269,Hervey Bay,AU,63.01,clear sky,-25.2986,152.8535,Shelly Bay Resort
271,Manta,EC,73.22,overcast clouds,-0.95,-80.7333,Balandra Hotel
272,Kikwit,CD,78.12,clear sky,-5.041,18.8162,HOTEL PLACE YALABA
273,Dalmatovo,RU,57.78,clear sky,56.26,62.9362,"Gostinitsa I Obshchezhitiye ""Start-Prodservis"""
274,Lorengau,PG,83.82,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
276,Mega,ET,56.39,overcast clouds,4.05,38.3,Amanuel Guest House
277,Ambunti,PG,75.83,overcast clouds,-4.2365,142.8448,Ambunti Lodge
278,Salinopolis,BR,79.2,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
279,Khatanga,RU,76.37,few clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
280,Jefferson City,US,89.58,clear sky,38.5767,-92.1735,DoubleTree by Hilton Hotel Jefferson City
282,Kawalu,ID,71.53,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
283,Bismarck,US,88.88,smoke,46.8083,-100.7837,Ramkota Hotel & Conference Center
284,Illapel,CL,58.12,clear sky,-31.6308,-71.1653,Hotel Londres
286,Pundaguitan,PH,83.93,moderate rain,6.3711,126.1689,Leonardo Family Beach House 1
287,Itaborai,BR,60.37,scattered clouds,-22.7444,-42.8594,Promenade Prime Itaboraí
288,Aksu,CN,77.54,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
289,Brusque,BR,56.79,clear sky,-27.0981,-48.9175,Monthez Hotel e Eventos
290,Laguna,US,110.14,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
291,Kaputa,ZM,66.83,clear sky,-8.4689,29.6619,Chelelwa Charlets
292,Lata,PT,63.05,few clouds,40.1629,-8.3327,Casa Maquia
293,Juneau,US,74.84,broken clouds,58.3019,-134.4197,"Baranof Downtown, Bw Signature Collection"
294,Nouadhibou,MR,69.1,clear sky,20.931,-17.0347,El Medina
295,Pisco,PE,62.65,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
296,Aswan,EG,88.59,broken clouds,24.0934,32.907,Nuba Nile
297,Kalmunai,LK,78.69,clear sky,7.4167,81.8167,VS Villa
298,Padang,ID,76.15,broken clouds,-0.9492,100.3543,Mercure Padang
299,Kudahuvadhoo,MV,81.9,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
300,Kuytun,RU,55.87,broken clouds,54.3419,101.5036,Gostinitsa Tsentral'naya
302,Am Timan,TD,75.25,light rain,11.0297,20.2827,Palais du chef Canton Salamt
303,Brufut,GM,73.49,broken clouds,13.3814,-16.7518,Sheraton Gambia Hotel Resort & Spa
305,Abrau-Dyurso,RU,65.66,clear sky,44.69,37.59,Avgustin Inn
306,Hobyo,SO,76.39,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
308,Batemans Bay,AU,59.09,broken clouds,-35.7167,150.1833,Batemans Bay Marina Resort
309,Canico,PT,72.68,scattered clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
310,Shache,CN,79.29,scattered clouds,38.4167,77.2406,Delong Hotel
311,Atar,MR,97.65,scattered clouds,20.5169,-13.0499,Oumou Elghoura
312,Hasaki,JP,79.29,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
313,Mahebourg,MU,66.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
